ID,Location,Num_Days,Num_People,Food_Level,Hotel_Rating,Guide_Support,Transport_Type,Season,Distance_km,Activities_Count,Total_Cost
1,Pondicherry,1,7,Standard,4,No,Flight,Off,2,4,76200
2,Bangalore,10,5,Standard,2,No,Bus,Peak,7,5,281250
3,Bangalore,4,3,Premium,3,No,Car,Off,20,1,66500
4,Mysore,9,6,Premium,3,Yes,Car,Off,20,9,288000
5,Goa,5,4,Premium,5,Yes,Train,Off,10,5,150000
6,Pondicherry,7,2,Standard,4,No,Train,Off,20,6,84400
7,Mysore,2,6,Standard,5,Yes,Train,Peak,2,5,138300
8,Pondicherry,5,8,Premium,4,No,Flight,Off,20,1,280500
9,Hyderabad,7,2,Standard,3,No,Flight,Off,11,10,79400
10,Mumbai,10,8,Standard,4,No,Flight,Off,13,6,491000
11,Amritsar,3,6,Budget,3,No,Flight,Peak,7,5,164850
12,Udaipur,8,1,Budget,3,Yes,Train,Off,17,5,39900
13,Amritsar,6,6,Standard,3,No,Flight,Off,11,6,198600
14,Hyderabad,1,8,Standard,4,No,Train,Off,16,9,61300
15,Mumbai,6,8,Budget,4,No,Train,Peak,17,9,406350
16,Rishikesh,2,5,Standard,3,No,Train,Off,5,9,58000
17,Udaipur,4,5,Standard,5,Yes,Flight,Off,7,9,163000
18,Jaipur,4,8,Premium,2,Yes,Train,Peak,4,5,216000
19,Varanasi,9,8,Standard,2,No,Train,Peak,10,1,407550
20,Jaipur,10,4,Standard,3,No,Flight,Off,1,3,205500
21,Ooty,4,2,Premium,2,Yes,Car,Off,10,4,39500
22,Udaipur,1,1,Premium,3,No,Bus,Off,17,1,6500
23,Amritsar,3,7,Standard,5,No,Car,Peak,12,8,234900
24,Udaipur,6,3,Budget,3,Yes,Flight,Off,1,1,94400
25,Mumbai,4,4,Standard,5,No,Bus,Peak,3,6,168900
26,Jaipur,7,8,Premium,3,No,Car,Peak,13,8,450000
27,Amritsar,3,8,Premium,3,Yes,Flight,Peak,3,6,246750
28,Varanasi,8,5,Standard,2,Yes,Flight,Peak,8,8,261750
29,Delhi,6,4,Premium,3,No,Flight,Off,17,9,144500
30,Ooty,4,8,Budget,3,No,Train,Peak,12,3,226650
31,Hyderabad,2,5,Budget,5,No,Car,Peak,5,3,111750
32,Shimla,4,7,Standard,3,No,Flight,Off,4,6,166800
33,Jaipur,8,2,Premium,4,No,Car,Peak,6,7,155250
34,Amritsar,6,2,Premium,2,No,Flight,Off,5,4,60000
35,Udaipur,1,4,Premium,4,No,Flight,Off,9,2,45000
36,Hyderabad,10,4,Premium,3,Yes,Flight,Off,15,6,224500
37,Manali,8,8,Premium,5,No,Car,Peak,12,1,696750
38,Ooty,2,5,Standard,4,No,Car,Off,6,2,67000
39,Pondicherry,4,7,Budget,2,Yes,Train,Off,14,8,108400
40,Ooty,3,1,Standard,4,No,Train,Off,5,6,21300
41,Shimla,1,6,Standard,5,No,Train,Off,9,2,49600
42,Goa,2,2,Budget,4,Yes,Train,Off,20,6,28700
43,Varanasi,3,2,Budget,5,No,Bus,Peak,11,9,66450
44,Kochi,10,3,Budget,4,No,Bus,Off,14,3,163500
45,Rishikesh,2,5,Premium,5,Yes,Car,Off,1,8,85500
46,Kochi,5,6,Premium,3,Yes,Flight,Peak,6,1,273000
47,Ooty,1,4,Budget,3,Yes,Flight,Peak,13,1,58800
48,Chennai,9,6,Standard,2,Yes,Bus,Peak,13,7,308100
49,Leh,10,3,Premium,3,No,Flight,Peak,6,1,248250
50,Kochi,8,5,Standard,4,No,Bus,Peak,7,1,344250
51,Amritsar,2,7,Premium,5,Yes,Bus,Peak,5,8,165750
52,Mysore,10,4,Premium,3,No,Train,Off,11,7,209500
53,Manali,6,5,Budget,2,Yes,Flight,Peak,1,8,194250
54,Kochi,3,7,Premium,4,No,Car,Off,10,7,143500
55,Mysore,2,8,Premium,3,Yes,Flight,Peak,19,4,185250
56,Delhi,2,6,Premium,4,No,Train,Peak,7,8,127500
57,Mysore,8,4,Standard,4,No,Bus,Off,4,10,188200
58,Kochi,1,8,Premium,2,Yes,Flight,Off,7,3,75000
59,Mysore,10,4,Standard,4,Yes,Bus,Off,12,3,231000
60,Chennai,6,6,Standard,2,No,Train,Off,15,5,141100
61,Chennai,2,2,Budget,5,No,Train,Peak,20,9,49050
62,Varanasi,1,4,Budget,3,Yes,Train,Peak,17,6,41550
63,Jaipur,9,1,Budget,3,Yes,Flight,Off,7,9,49700
64,Kochi,5,4,Budget,3,Yes,Flight,Off,20,7,111000
65,Chennai,2,8,Standard,3,No,Flight,Peak,20,6,174900
66,Varanasi,5,8,Budget,5,Yes,Bus,Off,17,2,262500
67,Mumbai,10,7,Standard,2,No,Car,Off,20,1,266500
68,Udaipur,9,3,Premium,5,Yes,Car,Off,12,10,201500
69,Kochi,2,6,Premium,5,No,Flight,Off,13,2,115000
70,Pondicherry,6,5,Standard,5,No,Flight,Peak,6,8,340500
71,Darjeeling,7,6,Standard,4,Yes,Flight,Peak,4,5,403800
72,Udaipur,10,7,Premium,4,No,Train,Peak,15,5,649500
73,Kochi,5,6,Premium,4,No,Flight,Off,20,3,211500
74,Rishikesh,5,1,Standard,3,No,Flight,Off,20,4,30000
75,Mysore,6,7,Budget,4,Yes,Flight,Off,19,10,264100
76,Shimla,6,3,Standard,5,No,Bus,Off,3,3,123300
77,Udaipur,3,7,Budget,2,Yes,Flight,Peak,18,8,164700
78,Hyderabad,6,2,Standard,3,Yes,Car,Peak,13,2,92550
79,Agra,3,7,Standard,5,Yes,Car,Peak,4,10,238650
80,Pondicherry,1,3,Standard,5,Yes,Car,Peak,10,3,43200
81,Pondicherry,8,1,Standard,2,No,Bus,Off,14,5,32300
82,Chennai,10,4,Budget,3,Yes,Car,Peak,18,3,274500
83,Mysore,9,6,Standard,2,No,Flight,Off,2,9,228900
84,Agra,10,3,Standard,3,No,Bus,Peak,16,9,218250
85,Rishikesh,7,3,Budget,3,Yes,Flight,Off,10,4,108800
86,Hyderabad,6,1,Budget,5,No,Car,Peak,15,5,63450
87,Manali,10,2,Budget,5,No,Car,Off,17,9,134500
88,Bangalore,7,1,Standard,3,No,Train,Off,9,5,36200
89,Agra,4,7,Budget,2,No,Car,Off,14,6,109400
90,Leh,4,1,Budget,3,No,Car,Peak,11,1,29550
91,Udaipur,5,6,Standard,2,Yes,Train,Off,5,3,120000
92,Hyderabad,1,7,Budget,3,No,Bus,Off,15,2,38100
93,Mysore,4,8,Standard,2,No,Bus,Peak,9,5,188550
94,Udaipur,3,4,Standard,5,No,Car,Peak,16,4,133800
95,Manali,1,5,Premium,5,Yes,Flight,Peak,16,3,94500
96,Kochi,3,2,Budget,2,Yes,Car,Off,13,9,29800
97,Udaipur,4,1,Premium,4,No,Car,Peak,13,1,39750
98,Pondicherry,10,8,Premium,3,Yes,Train,Off,1,6,416500
99,Amritsar,2,5,Standard,5,Yes,Car,Peak,15,5,120000
100,Chennai,8,3,Standard,4,No,Car,Off,14,4,142400
101,Jaipur,6,7,Standard,2,Yes,Train,Off,14,5,165700
102,Mysore,9,5,Premium,3,No,Bus,Off,3,2,231000
103,Darjeeling,4,3,Premium,3,No,Car,Peak,13,10,106500
104,Leh,2,6,Budget,4,Yes,Train,Peak,18,10,118650
105,Hyderabad,4,6,Budget,2,No,Bus,Peak,12,4,130800
106,Varanasi,6,7,Budget,2,No,Bus,Peak,3,4,221400
107,Bangalore,10,5,Standard,4,No,Car,Peak,15,2,436500
108,Goa,8,5,Premium,4,Yes,Flight,Off,9,9,271000
109,Delhi,5,4,Premium,5,Yes,Car,Off,14,7,153000
110,Leh,6,6,Standard,4,Yes,Bus,Peak,17,4,316650
111,Bangalore,7,2,Budget,2,Yes,Car,Peak,18,7,82800
112,Varanasi,1,8,Budget,2,No,Bus,Off,17,4,36400
113,Agra,1,2,Budget,5,No,Train,Off,9,3,17100
114,Bangalore,2,5,Budget,3,No,Flight,Off,2,9,72500
115,Leh,5,8,Premium,5,Yes,Flight,Off,5,1,322000
116,Mumbai,9,4,Standard,5,Yes,Flight,Off,5,4,261100
117,Kochi,1,4,Budget,3,No,Bus,Peak,3,10,39300
118,Pondicherry,9,5,Premium,2,No,Car,Off,6,6,193000
119,Agra,5,6,Budget,5,No,Car,Peak,10,1,302250
120,Shimla,7,6,Budget,4,Yes,Flight,Peak,5,1,381900
121,Varanasi,2,1,Budget,3,Yes,Car,Peak,20,3,20400
122,Shimla,6,6,Budget,5,Yes,Flight,Off,18,8,262300
123,Hyderabad,4,8,Standard,2,No,Bus,Peak,13,9,191550
